statecode,state,districtcode,districtname,marketcode,marketname,latitude,longitude
AN,Andaman and Nicobar,1,Nicobar,3365,Car Nicobar APMC,12.63913738304127,92.90201992493812
AN,Andaman and Nicobar,2,North and Middle Andaman,3367,Diglipur APMC,12.587130841522896,92.80304461404619
AN,Andaman and Nicobar,2,North and Middle Andaman,345,Mayabandar APMC,12.579549070931007,92.90602719831915
AP,Andhra Pradesh,710,Alluri Sitharama Raju,4688,Araku Valley APMC,18.33662156134095,82.92566670246775
AP,Andhra Pradesh,710,Alluri Sitharama Raju,4771,Rampachodvaram APMC,17.847031821660995,82.25293435084849
AP,Andhra Pradesh,714,Anakapalli,4738,Madygula APMC,17.816068539832816,82.74619583553891
AP,Andhra Pradesh,714,Anakapalli,4758,Payakaraopeta APMC,17.385675029732663,82.61624914351142
AP,Andhra Pradesh,4,Anantapur,837,Anantapur APMC,14.754169636091286,77.6032250376943
AP,Andhra Pradesh,4,Anantapur,365,Dharmavaram APMC,14.591722909632827,77.59127921117988
AP,Andhra Pradesh,4,Anantapur,882,Gooti APMC,15.082606787065204,77.5650359178179
AP,Andhra Pradesh,4,Anantapur,885,Guntakal APMC,15.145108556144747,77.37867746296821
AP,Andhra Pradesh,4,Anantapur,888,Hindupur APMC,13.79508398350546,77.54186515978488
AP,Andhra Pradesh,4,Anantapur,902,Kadiri APMC,15.121688030530843,77.56370263670037
AP,Andhra Pradesh,4,Anantapur,905,Kalyandurg APMC,14.564134936945607,77.17730591086557
AP,Andhra Pradesh,4,Anantapur,939,Madakasira APMC,13.985621870301541,77.44187039502573
AP,Andhra Pradesh,4,Anantapur,1182,"P. Ramacharyulu Park,RBZ APMC",14.791053248720235,77.45950615880182
AP,Andhra Pradesh,4,Anantapur,364,Penukonda APMC,13.991367739142438,77.5100061338417
AP,Andhra Pradesh,4,Anantapur,1009,RAYADURG APMC,14.641296908411467,76.87909953209673
AP,Andhra Pradesh,4,Anantapur,4773,Rapthadu APMC,14.615920937906061,77.50305918450054
AP,Andhra Pradesh,4,Anantapur,4782,Singanamala APMC,14.934464059161817,77.73845550217862
AP,Andhra Pradesh,4,Anantapur,1027,Tadipatri APMC,14.914308188197294,78.04904913353161
AP,Andhra Pradesh,4,Anantapur,2812,Tenakallu APMC,14.31272935832414,77.1470062607113
AP,Andhra Pradesh,4,Anantapur,1043,Urvakonda APMC,14.949212553879105,77.21825216913227
AP,Andhra Pradesh,709,Annamayya,4687,Angallu APMC,13.600471614915444,78.54693878608748
AP,Andhra Pradesh,709,Annamayya,4790,Valmikipuram APMC,13.728818926648488,78.71539429963654
AP,Andhra Pradesh,716,Bapatla,4794,Vemuru APMC,16.179221089432442,80.6833184802825
AP,Andhra Pradesh,5,Chittor,843,Bangarupalyam APMC,13.157920910927244,78.98070880524563
AP,Andhra Pradesh,5,Chittor,857,Chittoor APMC,13.233958979423077,79.05188444148834
AP,Andhra Pradesh,5,Chittor,3318,Chittor(Rythu Bazar) APMC,13.230732724558706,79.22792575611999
AP,Andhra Pradesh,5,Chittor,3014,Kalikiri APMC,13.404628217914997,78.97224690523745
AP,Andhra Pradesh,5,Chittor,930,Kuppam APMC,12.750428661322958,78.32889919934681
AP,Andhra Pradesh,5,Chittor,938,Madanapalli APMC,12.857039837516277,78.37501029654648
AP,Andhra Pradesh,5,Chittor,1987,Mulakalacheruvu APMC,13.724765383303607,78.33891903302924
AP,Andhra Pradesh,5,Chittor,1988,Nagalapuram APMC,13.395905625020037,79.74111891442921
AP,Andhra Pradesh,5,Chittor,958,Nagari APMC,13.313820527110758,79.63711519916009
AP,Andhra Pradesh,5,Chittor,978,Pakala APMC,13.38279333517598,79.12601909580758
AP,Andhra Pradesh,5,Chittor,361,Palamaner APMC,13.208312628177499,78.72476811253293
AP,Andhra Pradesh,5,Chittor,4761,Penumuru APMC,13.333710586642152,79.19673557217116
AP,Andhra Pradesh,5,Chittor,990,Piler APMC,13.608937041353208,78.92286701958783
AP,Andhra Pradesh,5,Chittor,999,Punganur APMC,13.270936517062774,78.55582911444483
AP,Andhra Pradesh,5,Chittor,1001,Puttur APMC,13.16621974497418,78.93464378449805
AP,Andhra Pradesh,5,Chittor,3446,Rompicherla APMC,13.766365920310262,79.05358693492852
AP,Andhra Pradesh,5,Chittor,4776,S.R.Puram APMC,13.224317837085366,79.15177501794149
AP,Andhra Pradesh,5,Chittor,1022,Somala APMC,13.488133108889686,78.78391086542204
AP,Andhra Pradesh,5,Chittor,1024,Srikalahasti APMC,13.699495991027577,79.71087949914876
AP,Andhra Pradesh,5,Chittor,1034,Thambalapalli APMC,13.891816271510768,78.46497207244144
AP,Andhra Pradesh,5,Chittor,1035,Thottambedu APMC,12.654546453278678,78.31447044637194
AP,Andhra Pradesh,5,Chittor,1038,Tirupati APMC,14.02485393327261,79.99940958269435
AP,Andhra Pradesh,5,Chittor,1181,V.Kota Mkt.Yard APMC,13.056597237041968,78.99208474441258
AP,Andhra Pradesh,5,Chittor,1052,Vayalapadu APMC,13.651766315285222,78.5141778681182
AP,Andhra Pradesh,5,Chittor,2264,Vepanjari APMC,13.181615838191123,79.27331085891139
AP,Andhra Pradesh,6,Cuddapah,362,Badvel APMC,14.644460966782798,78.77410909019883
AP,Andhra Pradesh,6,Cuddapah,1,Cuddapah APMC,14.368696034637722,78.89028811646888
AP,Andhra Pradesh,6,Cuddapah,900,Jammalamadugu APMC,14.50509010632775,78.80936970588463
AP,Andhra Pradesh,6,Cuddapah,908,Kamalapuram APMC,14.28858245954568,78.90149340567898
AP,Andhra Pradesh,6,Cuddapah,916,Koduru APMC,14.052613809238135,79.2640907186319
AP,Andhra Pradesh,6,Cuddapah,933,Lakkireddipally APMC,14.33207311997976,78.88785670280616
AP,Andhra Pradesh,6,Cuddapah,956,Mydukur APMC,14.43053057945523,78.79308600896006
AP,Andhra Pradesh,6,Cuddapah,997,Proddatur APMC,14.633476675062546,78.73752721348187
AP,Andhra Pradesh,6,Cuddapah,2867,"Proddatur,RBZ APMC",14.315049561576508,78.70697562023325
AP,Andhra Pradesh,6,Cuddapah,998,Pulivendala APMC,14.375445571505495,78.73929868277409
AP,Andhra Pradesh,6,Cuddapah,1002,Rajampet APMC,14.6878251937242,79.08102246583285
AP,Andhra Pradesh,6,Cuddapah,363,Rayachoti APMC,14.339263040749739,78.99692467675939
AP,Andhra Pradesh,6,Cuddapah,1990,Siddavatam APMC,14.555509692309421,79.03049292647565
AP,Andhra Pradesh,6,Cuddapah,1020,Siddout APMC,14.726835979080116,78.91769333841634
AP,Andhra Pradesh,6,Cuddapah,4781,Simhadhripuram APMC,14.91080553121494,78.79541072480191
AP,Andhra Pradesh,6,Cuddapah,4798,Yerraguntla APMC,14.24590990281674,78.5265168837646
AP,Andhra Pradesh,7,East Godavari,831,Alamuru APMC,16.88624887666376,81.63171109334581
AP,Andhra Pradesh,7,East Godavari,832,Allavaram APMC,16.90299595404167,81.66573459661583
AP,Andhra Pradesh,7,East Godavari,1162,"Amalapuram(Mpl. Gate),RBZ APMC",16.64702583925532,82.02587166122312
AP,Andhra Pradesh,7,East Godavari,835,Ambajipeta APMC,17.06865265077988,81.68163066418455
AP,Andhra Pradesh,7,East Godavari,839,Anaparthy APMC,16.889770676740028,81.99142982972647
